fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year_x,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,rank,studio,lifetime_gross,year_y
titles01/tt0209144,tt0209144,memento,memento,http://www.imdb.com/title/tt0209144/,8.6,605480.0,6780.0,2000.0,video.movie,47,34,72,1748,1976,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2922,NM,25544867,2001
titles01/tt0245712,tt0245712,amoresperros,amores perros,http://www.imdb.com/title/tt0245712/,8.2,130465.0,9240.0,2000.0,video.movie,56,15,24,308,346,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5524,Lions,5408467,2001
titles01/tt0246578,tt0246578,donniedarko,donnie darko,http://www.imdb.com/title/tt0246578/,8.1,430315.0,6780.0,2001.0,video.movie,11,12,58,1329,2031,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7141,NM,1478493,2001
titles01/tt0266697,tt0266697,killbillvol,kill bill vol,http://www.imdb.com/title/tt0266697/,8.2,509895.0,6660.0,2003.0,video.movie,16,43,97,3019,2044,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120,Mira.,70099045,2003
titles01/tt0266697,tt0266697,killbillvol,kill bill vol,http://www.imdb.com/title/tt0266697/,8.2,509895.0,6660.0,2003.0,video.movie,16,43,97,3019,2044,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,Mira.,66208183,2004
titles02/index.html.5222,tt0378194,killbillvol,kill bill vol,http://www.imdb.com/title/tt0378194/,8.0,383562.0,8220.0,2004.0,video.movie,12,39,133,203,901,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1120,Mira.,70099045,2003
titles02/index.html.5222,tt0378194,killbillvol,kill bill vol,http://www.imdb.com/title/tt0378194/,8.0,383562.0,8220.0,2004.0,video.movie,12,39,133,203,901,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1194,Mira.,66208183,2004
titles04/index.html.12346,tt1521225,killbillvol,kill bill vol,http://www.imdb.com/title/tt1521225/,,,,,video.movie,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1120,Mira.,70099045,2003
titles04/index.html.12346,tt1521225,killbillvol,kill bill vol,http://www.imdb.com/title/tt1521225/,,,,,video.movie,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1194,Mira.,66208183,2004
titles01/tt0317248,tt0317248,cityofgod,city of god,http://www.imdb.com/title/tt0317248/,8.7,386540.0,7800.0,2002.0,video.movie,57,26,27,528,681,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024,Mira.,7564459,2003
