rank,title,studio,lifetime_gross,year
290,robinhoodprinceofthieves,WB,165493908,1991
291,kungfupanda,P/DW,165249063,2011
292,hannibal,MGM,165092268,2001
293,catchmeifyoucan,DW,164615351,2002
294,theproposal,BV,163958031,2009
295,thepursuitofhappyness,Sony,163566459,2006
296,bigdaddy,Sony,163479795,1999
297,clashofthetitans,WB,163214888,2010
298,thespongebobmoviespongeoutofwater,Par.,162994032,2015
299,batmanreturns,WB,162831698,1992
300,djangounchained,Wein.,162805434,2012
301,abugslife,BV,162798565,1998
302,jasonbourne,Uni.,162434410,2016
303,grownups,Sony,162001186,2010
304,thewaterboy,BV,161491646,1998
305,iceagecontinentaldrift,Fox,161321843,2012
306,straightouttacompton,Uni.,161197785,2015
307,dieanotherday,MGM,160942139,2002
308,sharktale,DW,160861908,2004
309,theheat,Fox,159582188,2013
310,startrekbeyond,Par.,158848340,2016
311,thesoundofmusic,Fox,158671368,1965
312,hoteltransylvaniasummervacation,Sony,158617389,2018
313,thefirm,Par.,158348367,1993
314,thelongestyard,Par.,158119460,2005
315,xmen,Fox,157299717,2000
316,scarymovie,Mira.,157019771,2000
317,fatalattraction,Par.,156645693,1987
318,whoframedrogerrabbit,BV,156452370,1988
319,thesting,Uni.,156000000,1973
320,whatliesbeneath,DW,155464351,2000
321,xmenapocalypse,Fox,155442489,2016
322,themummy,Uni.,155385488,1999
323,snowwhiteandthehuntsman,Uni.,155332381,2012
324,sanandreas,WB (NL),155190832,2015
325,fastandfurious,Uni.,155064265,2009
326,overthehedge,P/DW,155019340,2006
327,fantasticfour,Fox,154696080,2005
328,drseusshortonhearsawho,Fox,154529439,2008
329,madmaxfuryroad,WB,154058340,2015
330,jerrymaguire,Sony,153952592,1996
331,trolls,Fox,153707064,2016
332,beverlyhillscopii,Par.,153665036,1987
333,scoobydoo,WB,153294164,2002
334,gremlins,WB,153083102,1984
335,cars,BV,152901115,2017
336,sexandthecity,WB (NL),152647258,2008
337,runawaybride,Par.,152257509,1999
338,lalaland,LG/S,151101803,2016
339,divergent,LG/S,150947895,2014
340,rambofirstbloodpartii,TriS,150415432,1985
341,werethemillers,WB (NL),150394119,2013
342,terminatorriseofthemachines,WB,150371112,2003
343,daddyshome,Par.,150357137,2015
344,gijoetheriseofcobra,Par.,150201498,2009
345,neighbors,Uni.,150157400,2014
346,americanhustle,Sony,150117807,2013
347,pussinboots,P/DW,149260504,2011
348,lesmiserables,Uni.,148809770,2012
349,knockedup,Uni.,148768917,2007
350,asgoodasitgets,Sony,148478011,1997
351,littlefockers,Uni.,148438600,2010
352,megamind,P/DW,148415853,2010
353,hoteltransylvania,Sony,148313048,2012
354,talladeganightstheballadofrickybobby,Sony,148213377,2006
355,grantorino,WB,148095302,2008
356,lethalweapon,WB,147253986,1989
357,warfortheplanetoftheapes,Fox,146880162,2017
358,xmenfirstclass,Fox,146408305,2011
359,paulblartmallcop,Sony,146336178,2009
360,truelies,Fox,146282411,1994
361,lilostitch,BV,145794338,2002
362,americanpie,Uni.,145103595,2001
363,taken,Fox,145000989,2009
364,dalmatians,Dis.,144880014,1961
365,thegreatgatsby,WB,144840419,2013
366,thesantaclause,BV,144833357,1994
367,irobot,Fox,144801023,2004
368,lethalweapon,WB,144731527,1992
369,thefastandthefurious,Uni.,144533925,2001
370,doctordolittle,Fox,144156605,1998
371,mammamia,Uni.,144130063,2008
372,rio,Fox,143619809,2011
373,kungfupanda,Fox,143528619,2016
374,juno,FoxS,143495265,2007
375,marleyandme,Fox,143153751,2008
376,thesmurfs,Sony,142614158,2011
377,xxx,SonR,142109382,2002
378,thejunglebook,Dis.,141843612,1967
379,thechroniclesofnarniaprincecaspian,BV,141621490,2008
380,nationallampoonsanimalhouse,Uni.,141600000,1978
381,pocahontas,BV,141579773,1995
382,afewgoodmen,Col.,141340178,1992
383,slumdogmillionaire,FoxS,141319928,2008
384,rushhour,NL,141186864,1998
385,theblairwitchproject,Art.,140539099,1999
386,deepimpact,Par.,140464664,1998
387,rushhour,NL,140125968,2007
388,lookwhostalking,TriS,140088813,1989
389,stuartlittle,Sony,140035367,1999
390,taken,Fox,139854287,2012
391,sisteract,BV,139605150,1992
392,thematrixrevolutions,WB,139313948,2003
393,thesantaclause,BV,139236327,2002
394,oceans,WB,138876427,2018
395,thekingsspeech,Wein.,138797449,2010
396,cheaperbythedozen,Fox,138614544,2003
397,badboysii,Sony,138608444,2003
398,platoon,Orion,138530565,1986
399,jumpstreet,Sony,138447667,2012
400,goodwillhunting,Mira.,138433435,1997
401,split,Uni.,138291365,2017
402,achristmascarol,BV,137855863,2009
403,dinosaur,BV,137748063,2000
404,theconjuring,WB (NL),137400141,2013
405,click,SonR,137355633,2006
406,readyplayerone,WB,137018455,2018
407,thegreenmile,WB,136801374,1999
408,ransom,BV,136492681,1996
409,godzilla,Sony,136314294,1998
410,dalmatians,BV,136189294,1996
411,argo,WB,136025503,2012
412,angermanagement,SonR,135645823,2003
413,chickenlittle,BV,135386665,2005
414,teenagemutantninjaturtles,NL,135265915,1990
415,closeencountersofthethirdkind,Col.,135189114,1977
416,patchadams,Uni.,135026902,1998
417,thegodfather,Par.,134966411,1972
418,ridealong,Uni.,134938200,2014
419,theincrediblehulk,Uni.,134806913,2008
420,livefreeordiehard,Fox,134529403,2007
421,wanted,Uni.,134508551,2008
422,identitythief,Uni.,134506920,2013
423,superman,WB,134218018,1978
424,therock,BV,134069511,1996
425,missionimpossibleiii,Par.,134029801,2006
426,grownups,Sony,133668525,2013
427,troy,WB,133378256,2004
428,angelsdemons,Sony,133375846,2009
429,alvinandthechipmunkschipwrecked,Fox,133110742,2011
430,bringingdownthehouse,BV,132716677,2003
431,thewolverine,Fox,132556852,2013
432,wonder,LGF,132422809,2017
433,thedeparted,WB,132384315,2006
434,hulk,Uni.,132177234,2003
435,silverliningsplaybook,Wein.,132092958,2012
436,minorityreport,Fox,132072926,2002
437,fantasticfourriseofthesilversurfer,Fox,131921738,2007
438,thelastairbender,Par.,131772187,2010
439,rio,Fox,131538435,2014
440,laracrofttombraider,Par.,131168070,2001
441,thesilenceofthelambs,Orion,130742922,1991
442,honeyishrunkthekids,BV,130724172,1989
443,theflintstones,Uni.,130531208,1994
444,lethalweapon,WB,130444603,1998
445,getsmart,WB,130319208,2008
446,thedivergentseriesinsurgent,LG/S,130179072,2015
447,thepeanutsmovie,Fox,130178411,2015
448,transformersthelastknight,Par.,130168683,2017
449,americangangster,Uni.,130164645,2007
450,americanbeauty,DW,130096601,1999
451,anofficerandagentleman,Par.,129795554,1982
452,thering,DW,129128133,2002
453,thenuttyprofessor,Uni.,128814019,1996
454,boratculturallearningsofamericaformakebenefitgloriousnationofkazakhstan,Fox,128505958,2006
455,ghostbusters,Sony,128350574,2016
456,kingsmanthesecretservice,Fox,128261724,2015
457,robots,Fox,128200012,2005
458,comingtoamerica,Par.,128152301,1988
459,crouchingtigerhiddendragon,SPC,128078872,2000
460,shutterisland,Par.,128012934,2010
461,intothewoods,BV,128002372,2014
462,rockyiv,UA,127873716,1985
463,enchanted,BV,127807262,2007
464,thecuriouscaseofbenjaminbutton,Par.,127509326,2008
465,centralintelligence,WB (NL),127440871,2016
466,anchormanthelegendcontinues,Par.,127352707,2013
467,sweethomealabama,BV,127223418,2002
468,dumbanddumber,NL,127175374,1994
469,fastfurious,Uni.,127154901,2003
470,mybestfriendswedding,Sony,127120029,1997
471,super,Par.,127004179,2011
472,theworldisnotenough,MGM,126943684,1999
473,smokeyandthebandit,Uni.,126737428,1977
474,sleeplessinseattle,TriS,126680884,1993
475,lucy,Uni.,126663600,2014
476,thelegendoftarzan,WB,126643061,2016
477,beemovie,P/DW,126631277,2007
478,prometheus,Fox,126477084,2012
479,safehouse,Uni.,126373434,2012
480,mrdeeds,Sony,126293452,2002
481,thetrumanshow,Par.,125618201,1998
482,erinbrockovich,Uni.,125595205,2000
483,oceanstwelve,WB,125544280,2004
484,terminatorsalvation,WB,125322469,2009
485,charliesangels,Sony,125305545,2000
486,tomorrowneverdies,MGM,125304276,1997
487,lonesurvivor,Uni.,125095601,2013
488,sully,WB,125070033,2016
489,rockyiii,UA,125049125,1982
490,thevow,SGem,125014030,2012
491,lifeofpi,Fox,124987023,2012
492,thefaultinourstars,Fox,124872350,2014
493,cloudywithachanceofmeatballs,Sony,124870275,2009
494,thedevilwearsprada,Fox,124740460,2006
495,somethingsgottagive,Sony,124728738,2003
496,traffic,USA,124115725,2000
497,thebirdcage,MGM,124060553,1996
498,cityslickers,Col.,124033791,1991
499,goodmorningvietnam,BV,123922370,1987
500,rango,Par.,123477607,2011
501,thenuttyprofessoriitheklumps,Uni.,123309890,2000
502,thegooddinosaur,BV,123087120,2015
503,gijoeretaliation,Par.,122523060,2013
504,clearandpresentdanger,Par.,122187717,1994
505,thehuntforredoctober,Par.,122012643,1990
506,thebodyguard,WB,122006740,1992
507,waynesworld,Par.,121697323,1992
508,thebourneidentity,Uni.,121661683,2002
509,superbad,Sony,121463226,2007
510,speed,Fox,121248145,1994
511,firstdates,Sony,120908074,2004
512,mulan,BV,120620254,1998
513,inglouriousbasterds,Wein.,120540719,2009
514,seabiscuit,Uni.,120277854,2003
515,vanhelsing,Uni.,120177084,2004
516,fourchristmases,WB (NL),120146040,2008
517,inowpronounceyouchuckandlarry,Uni.,120059556,2007
518,themask,NL,119938730,1994
519,cloudywithachanceofmeatballs,Sony,119793567,2013
520,hook,TriS,119654823,1991
521,blazingsaddles,WB,119601481,1974
522,walktheline,Fox,119519402,2005
523,gforce,BV,119436770,2009
524,totalrecall,Sony,119412921,1990
525,ongoldenpond,Uni.,119285432,1981
526,theotherguys,Sony,119219978,2010
527,fahrenheit,Lions,119194771,2004
528,thesumofallfears,Par.,118907036,2002
529,hairspray,NL,118871849,2007
530,thebreakup,Uni.,118703275,2006
531,lemonysnicketsaseriesofunfortunateevents,Par.,118634549,2004
532,bladesofglory,P/DW,118594548,2007
533,backtothefuturepartii,Uni.,118450002,1989
534,salt,Sony,118311368,2010
535,basicinstinct,TriS,117727224,1992
536,nowyouseeme,LG/S,117723989,2013
537,bigmommashouse,Fox,117559438,2000
538,dieharddieharder,Fox,117540947,1990
539,horriblebosses,WB (NL),117538559,2011
540,rocky,UA,117235147,1976
541,jackassd,Par.,117229692,2010
542,oceansthirteen,WB,117154724,2007
543,swat,Sony,116934650,2003
544,thewolfofwallstreet,Par.,116900694,2013
545,mile,Uni.,116750901,2002
546,doublejeopardy,Par.,116741558,1999
547,leedanielsthebutler,Wein.,116632095,2013
548,greenlantern,WB,116601172,2011
549,nottinghill,Uni.,116089678,1999
550,thetoweringinferno,Fox,116000000,1974
551,youvegotmail,WB,115821495,1998
552,ghostrider,Sony,115802596,2007
553,rememberthetitans,BV,115654751,2000
554,district,TriS,115646235,2009
555,unbroken,Uni.,115637895,2014
556,mammamiaherewegoagain,Uni.,115267110,2018
557,peterrabbit,Sony,115253424,2018
558,girlstrip,Uni.,115171585,2017
559,thekaratekidpartii,Col.,115103979,1986
560,americangraffiti,Uni.,115000000,1973
561,big,Fox,114968774,1988
562,fiftyshadesdarker,Uni.,114581250,2017
563,dodgeballatrueunderdogstory,Fox,114326736,2004
564,thevillage,BV,114197520,2004
565,bolt,BV,114053579,2008
566,wildwildwest,WB,113804681,1999
567,nightatthemuseumsecretofthetomb,Fox,113746621,2014
568,magicmike,WB,113721571,2012
569,theaddamsfamily,Par.,113502426,1991
570,thepatriot,Sony,113330342,2000
571,badmoms,STX,113257297,2016
572,thebournelegacy,Uni.,113203870,2012
573,thepacifier,BV,113086868,2005
574,drdolittle,Fox,112952899,2001
575,therockyhorrorpictureshow,Fox,112892319,1975
576,itscomplicated,Uni.,112735375,2009
577,spykids,Mira.,112719001,2001
578,ghostbustersii,Col.,112494738,1989
579,faceoff,Par.,112276146,1997
580,thehangoverpartiii,WB,112200072,2013
581,twins,Uni.,111938388,1988
582,spykidsdgameover,Dim.,111761982,2003
583,doctorzhivago,MGM,111721910,1965
584,enemyofthestate,BV,111549836,1998
585,thelittlemermaid,BV,111543479,1989
586,mrpeabodysherman,Fox,111506430,2014
587,porkys,Fox,111289673,1982
588,thelastsamurai,WB,111127263,2003
589,spy,Fox,110825712,2015
590,tropicthunder,P/DW,110515313,2008
591,valentinesday,WB (NL),110485654,2010
592,thegrudge,Sony,110359362,2004
593,funwithdickandjane,Sony,110332737,2005
594,freakyfriday,BV,110230332,2003
595,trainwreck,Uni.,110212700,2015
596,bedtimestories,BV,110101975,2008
597,scarymovie,Dim.,110003217,2003
598,creed,WB (NL),109767581,2015
599,startrekivthevoyagehome,Par.,109713132,1986
600,theyearoldvirgin,Uni.,109449237,2005
601,crocodiledundeeii,Par.,109306210,1988
602,couplesretreat,Uni.,109204945,2009
603,oneflewoverthecuckoosnest,UA,108981275,1975
604,atimetokill,WB,108766007,1996
605,blackhawkdown,SonR,108638745,2001
606,termsofendearment,Par.,108423489,1983
607,aceventurawhennaturecalls,WB,108385533,1995
608,theprincessdiaries,BV,108248956,2001
609,supermanii,WB,108185706,1981
610,hop,Uni.,108085305,2011
611,pulpfiction,Mira.,107928762,1994
612,paranormalactivity,Par.,107918810,2009
613,babydriver,TriS,107825862,2017
614,aleagueoftheirown,Sony,107533928,1992
615,epic,Fox,107518682,2013
616,watchmen,WB,107509799,2009
617,theangrybirdsmovie,Sony,107509366,2016
618,batmanandrobin,WB,107325195,1997
619,captainphillips,Sony,107100855,2013
620,blackswan,FoxS,106954678,2010
621,analyzethis,WB,106885658,1999
622,chickenrun,DW,106834564,2000
623,misscongeniality,WB,106807667,2000
624,indecentproposal,Par.,106614059,1993
625,drivingmissdaisy,WB,106593296,1989
626,riseofanempire,WB,106580051,2014
627,goldeneye,MGM,106429941,1995
628,lovestory,Par.,106397186,1970
629,kramervskramer,Col.,106260000,1979
630,theitalianjob,Par.,106128601,2003
631,howtoloseaguyindays,Par.,105813373,2003
632,thefirstwivesclub,Par.,105489203,1996
633,themeg,WB,105300646,2018
634,robinhood,Uni.,105269730,2010
635,interviewwiththevampire,WB,105264608,1994
636,georgeofthejungle,BV,105263257,1997
637,thegraduate,AVCO,104945305,1967
638,pitchperfect,Uni.,104897530,2017
639,phenomenon,BV,104636382,1996
640,americanwedding,Uni.,104565114,2003
641,roadtoperdition,DW,104454762,2002
642,theprincessandthefrog,BV,104400899,2009
643,thechroniclesofnarniathevoyageofthedawntreader,Fox,104386950,2010
644,daddydaycare,SonR,104297061,2003
645,daddyshome,Par.,104029443,2017
646,paranormalactivity,Par.,104028807,2011
647,journeythemysteriousisland,WB (NL),103860290,2012
648,dicktracy,BV,103738726,1990
649,riseoftheguardians,P/DW,103412758,2012
650,dreamgirls,P/DW,103365956,2006
651,to,Fox,103290500,1980
652,independencedayresurgence,Fox,103144286,2016
653,theexpendables,LGF,103068524,2010
654,scream,Dim.,103046663,1996
655,justgowithit,Sony,103028109,2011
656,murderontheorientexpress,Fox,102826543,2017
657,thegeneralsdaughter,Par.,102705852,1999
658,theaviator,Mira.,102610330,2004
659,americanpie,Uni.,102561004,1999
660,daredevil,Fox,102543518,2003
661,thegirlwiththedragontattoo,Sony,102515793,2011
662,themummytombofthedragonemperor,Uni.,102491776,2008
663,theconjuring,WB (NL),102470008,2016
664,themazerunner,Fox,102427862,2014
665,inthelineoffire,Col.,102314823,1993
666,butchcassidyandthesundancekid,Fox,102308889,1969
667,marypoppins,Dis.,102272727,1964
668,bambi,RKO,102247150,1942
669,annabellecreation,WB (NL),102092201,2017
670,jackasspresentsbadgrandpa,Par.,102003019,2013
671,pacificrim,WB,101802906,2013
